"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.606496300E-2	3.414913267E-2	-1.487155259E-2	7.390785217E-2	8.276289598E-2
3.606496300E-2	-1.045355201E0	1.372122169E-1	1.254968643E-1	1.061764640E0
4.606496300E-2	-1.044403195E0	1.370151937E-1	1.253986359E-1	1.060790279E0
5.606496300E-2	-1.043329597E0	1.368207335E-1	1.252861023E-1	1.059694846E0
6.606496300E-2	-1.042220116E0	1.366365999E-1	1.251697540E-1	1.058564971E0
7.606496300E-2	-1.041207671E0	1.365050822E-1	1.250648499E-1	1.057538779E0
8.606496300E-2	-1.040090203E0	1.363783479E-1	1.249494553E-1	1.056408563E0
9.606496300E-2	-1.038982511E0	1.362391710E-1	1.248340607E-1	1.055286365E0
1.060649630E-1	-1.037916899E0	1.360560954E-1	1.247234344E-1	1.054200496E0
1.160649630E-1	-1.036807775E0	1.359055489E-1	1.246089935E-1	1.053075535E0
1.260649630E-1	-1.035743475E0	1.357269734E-1	1.244993210E-1	1.051991653E0
1.360652630E-1	-1.034626365E0	1.356036812E-1	1.243839264E-1	1.050862234E0
1.460652630E-1	-1.033639312E0	1.354584992E-1	1.242818832E-1	1.049859618E0
1.560652630E-1	-1.032469034E0	1.352693290E-1	1.241617203E-1	1.048668790E0
1.660652630E-1	-1.031413913E0	1.352093816E-1	1.240520477E-1	1.047609253E0
1.760652630E-1	-1.030470490E0	1.350174099E-1	1.239557266E-1	1.046644235E0
1.860652630E-1	-1.029493093E0	1.348221749E-1	1.238546371E-1	1.045644786E0
1.960652630E-1	-1.028498530E0	1.346938014E-1	1.237535477E-1	1.044637060E0
2.060652630E-1	-1.027450681E0	1.345051378E-1	1.236457825E-1	1.043568308E0
2.160652630E-1	-1.026405334E0	1.342530698E-1	1.235389709E-1	1.042493969E0
2.260652630E-1	-1.025359035E0	1.340729594E-1	1.234321594E-1	1.041427965E0
2.360652630E-1	-9.203196168E-1	1.190634668E-1	1.132764816E-1	9.348774612E-1
2.460655480E-1	-8.256869316E-1	1.055445671E-1	1.051206589E-1	8.390166373E-1
2.560655480E-1	-7.404794693E-1	9.342762828E-2	9.858417511E-2	7.528329202E-1
2.660655480E-1	-6.636484861E-1	8.248271048E-2	9.334278107E-2	6.752374290E-1
2.760655480E-1	-5.944911838E-1	7.268966734E-2	8.915138245E-2	6.055175673E-1
